"Kommun" "Folkmängd" "Andel arbetslösa" "Medellön" "Andel utbildade" "Kommunalskatt"
"146" "Ale" 32580 0.033 36600 0.139 0.3335
"147" "Lerum" 43514 0.027 37300 0.19 0.3213
"148" "Vårgårda" 12456 0.036 35600 0.11 0.3309
"149" "Bollebygd" 9792 0.026 36700 0.131 0.3307
"150" "Grästorp" 5554 0.035 35500 0.102 0.3347
"151" "Essunga" 5580 0.039 35300 0.082 0.3305
"152" "Karlsborg" 6997 0.034 35300 0.121 0.328
"153" "Gullspång" 5024 0.065 35400 0.075 0.3397
"154" "Tranemo" 11830 0.036 35900 0.094 0.3298
"155" "Bengtsfors" 9073 0.061 35200 0.095 0.344
"156" "Mellerud" 9024 0.062 35000 0.091 0.3408
"157" "Lilla Edet" 14456 0.042 35600 0.097 0.3385
"158" "Mark" 35127 0.036 35300 0.114 0.3299
"159" "Svenljunga" 10733 0.042 35500 0.077 0.3353
"160" "Herrljunga" 9493 0.031 34700 0.1 0.3342
"161" "Vara" 16100 0.038 35300 0.085 0.3385
"162" "Götene" 13259 0.032 35200 0.105 0.336
"163" "Tibro" 11332 0.056 34800 0.097 0.3319
"164" "Töreboda" 9040 0.051 34700 0.091 0.332
"165" "Göteborg" 609182 0.057 37400 0.239 0.326
"166" "Mölndal" 71443 0.03 37200 0.231 0.3199
"167" "Kungälv" 50364 0.028 36800 0.16 0.3292
"168" "Lysekil" 13902 0.044 36300 0.121 0.3394
"169" "Uddevalla" 56967 0.057 36300 0.143 0.3364
"170" "Strömstad" 13497 0.038 36700 0.113 0.3339
"171" "Vänersborg" 40030 0.06 35500 0.141 0.3369
"172" "Trollhättan" 59016 0.071 35300 0.158 0.3384
"173" "Alingsås" 42753 0.036 36300 0.16 0.3284
"174" "Borås" 114931 0.057 35200 0.141 0.3279
"175" "Ulricehamn" 24975 0.036 34800 0.117 0.3253
"176" "Åmål" 11900 0.065 35500 0.107 0.3394
"177" "Mariestad" 24588 0.039 35600 0.121 0.3274
"178" "Lidköping" 40402 0.034 35600 0.136 0.3274
"179" "Skara" 18718 0.046 35300 0.114 0.3338
"180" "Skövde" 58050 0.036 36000 0.166 0.3309
"181" "Hjo" 9360 0.03 35300 0.129 0.3348
"182" "Tidaholm" 12777 0.033 35100 0.09 0.3355
"183" "Falköping" 32786 0.048 35300 0.11 0.3343
"184" "Kil" 12064 0.038 34700 0.124 0.3403
"185" "Eda" 8405 0.048 34000 0.071 0.3395
"186" "Torsby" 11329 0.028 35100 0.095 0.337
"187" "Storfors" 3773 0.058 36700 0.077 0.3438
"188" "Hammarö" 17010 0.027 34600 0.206 0.346
"189" "Munkfors" 3625 0.066 34900 0.07 0.337
"190" "Forshaga" 11515 0.05 34000 0.116 0.3403
"191" "Grums" 8984 0.058 34000 0.082 0.3418
"192" "Årjäng" 9823 0.028 35000 0.081 0.3365
"193" "Sunne" 13339 0.031 34600 0.114 0.333
"194" "Karlstad" 98068 0.05 35500 0.199 0.3295
"195" "Kristinehamn" 23753 0.065 33900 0.117 0.3365
"196" "Filipstad" 9756 0.078 33300 0.064 0.3395
"197" "Hagfors" 11409 0.043 33100 0.086 0.337
"198" "Arvika" 25514 0.033 34200 0.116 0.3343
"199" "Säffle" 14868 0.062 34100 0.093 0.332
"200" "Lekeberg" 8600 0.027 35000 0.126 0.3473
"201" "Laxå" 5404 0.059 34200 0.075 0.3448
"202" "Hallsberg" 16122 0.046 33900 0.092 0.3385
"203" "Degerfors" 9262 0.066 35200 0.074 0.353
"204" "Hällefors" 6305 0.071 33100 0.071 0.3435
"205" "Ljusnarsberg" 4368 0.07 34500 0.07 0.338
"206" "Örebro" 160219 0.059 34000 0.181 0.3365
"207" "Kumla" 22659 0.042 33900 0.113 0.3384
"208" "Askersund" 11449 0.036 34100 0.088 0.3415
"209" "Karlskoga" 30159 0.051 33900 0.11 0.343
"210" "Nora" 10628 0.049 34000 0.126 0.3455
"211" "Lindesberg" 23150 0.053 34700 0.095 0.346
"212" "Skinnskatteberg" 4258 0.06 34300 0.087 0.3334
"213" "Surahammar" 9825 0.046 34600 0.088 0.3319
"214" "Kungsör" 8669 0.063 35000 0.097 0.3291
"215" "Hallstahammar" 16629 0.056 34700 0.097 0.3269
"216" "Norberg" 5444 0.069 34100 0.08 0.3354
"217" "Västerås" 160705 0.066 35400 0.179 0.3124
"218" "Sala" 22813 0.047 34900 0.1 0.3319
"219" "Fagersta" 13042 0.089 34500 0.081 0.3299
"220" "Köping" 25717 0.068 35100 0.097 0.3304
"221" "Arboga" 13923 0.053 34400 0.111 0.3329
"222" "Vansbro" 6749 0.028 33300 0.075 0.3393
"223" "Malung-Sälen" 10237 0.025 33400 0.087 0.342
"224" "Gagnef" 10374 0.024 34100 0.112 0.3392
"225" "Leksand" 16127 0.029 34900 0.135 0.3345
"226" "Rättvik" 10998 0.032 34300 0.105 0.3345
"227" "Orsa" 6879 0.037 34500 0.096 0.3395
"228" "Älvdalen" 6884 0.033 34400 0.077 0.3442
"229" "Smedjebacken" 10819 0.039 34200 0.095 0.3409
"230" "Mora" 20551 0.021 35000 0.127 0.3397
"231" "Falun" 59916 0.033 33900 0.181 0.337
"232" "Borlänge" 51435 0.062 34000 0.119 0.3405
"233" "Säter" 11235 0.03 34000 0.115 0.3396
"234" "Hedemora" 15224 0.055 34300 0.091 0.338
"235" "Avesta" 22392 0.07 33900 0.089 0.336
"236" "Ludvika" 26667 0.06 34000 0.123 0.337
"237" "Ockelbo" 5713 0.062 34000 0.091 0.3427
"238" "Hofors" 9264 0.067 33200 0.083 0.3437
"239" "Ovanåker" 11342 0.067 34000 0.088 0.3337
"240" "Nordanstig" 9267 0.05 33400 0.094 0.3402
"241" "Ljusdal" 18425 0.052 34400 0.092 0.3387
"242" "Gävle" 103850 0.071 35500 0.155 0.3377
"243" "Sandviken" 38336 0.086 34600 0.109 0.3312
"244" "Söderhamn" 24490 0.082 33700 0.092 0.3317
"245" "Bollnäs" 26196 0.078 33400 0.103 0.3337
"246" "Hudiksvall" 37502 0.046 33900 0.127 0.3312
"247" "Ånge" 9047 0.041 35000 0.085 0.3462
"248" "Timrå" 17482 0.051 34200 0.1 0.3448
"249" "Härnösand" 24486 0.07 34500 0.135 0.3463
"250" "Sundsvall" 99081 0.044 34300 0.153 0.3388
"251" "Kramfors" 17482 0.051 33900 0.095 0.3443
"252" "Sollefteå" 18384 0.051 33300 0.097 0.3468
